"Title","Artist","ReviewBody","AlbumRating","AlbumFeelingRating","SongAvg","AlbumArt","Blurb","NextUpText","DatePosted","Listen1","Listen2","Listen3"
"1983","Flying Lotus","The first full length album for Flying Flotus. It shows off his talent, but still leaves some room to grow. Overall this album has clear space-y connatations. This album is a mix of finding a groove and then leaving the groove when it starts to get boring. The titular track, _1983_, is a build on the groove, it takes its time to find it and then slowely builds and adds new elements to it over the course of its duration. The complex beat structure with the glitch like fill; makes for a very interesting listen. As soon as you think you understand the tracks, you find something new to enjoy. _Babble_, while not a bad track, I feel is just too short and doesn't really accomplish what it sets out to. One of my few issues with the album is some of the transistions are a little too hard. _Unexpected Delight_ really lives up to its name. The volicity of the backing track makes combined with the haunting vocals by Laura; make for a hypnotic track that doesn't let go of your attention.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Flying Lotus\1983\Cover.jpg","The first album, arguably one of the greatest showings of his raw talent","NEXT UP:  200 Million Thousand by The Black Lips  I've never listened to this album in its entirety before","2020-11-20T10:07:00,000","2020-11-12","2020-11-13","2020-11-14"
"200 Million Thousand","The Black Lips","I had never listened to this album all the way through before. Its a great entry to the garage rock genre in my library. On my first listen I found myself really liking the album. I think on the whole it does better than the individual tracks would suggest, which I don't think is uncommon for this genre. What is a misnomer on this album is the songs I gave a 2 star too. While I enjoyed all these tracks I feel like on a shuffle I would most likely skip them. But this album is fuzzy, warm, and a great jam album. Every track gets you in a groove and then just holds you there until it decides its time to move on. _Short Fuse_ is very reminiscient of a [The Hives](../../Hives,%20TheHives_Artist_Review.md) track, but a little more on the lo-fi side. _Meltdown_, the hidden track on the album (based MusicBee filters out the minutes of silence), would have been a lot lower if I couldn't have filterd the white noise out.","4","4","3.1","\\OPENMEDIAVAULT\Media\Music\Black Lips, The\200 Million Thousand\Cover.jpg","I've never listened to this album in its entirety before","NEXT UP:  30 Seconds to Mars by 30 Seconds to Mars  DOOOOOONNN''''''TTTT BRRREEEAAAKKK MMEEEE DOOOWWNNNN, MMMARRRYYY MMMEEE (turns out this is not that album)","2020-11-23T10:00:08.413456","2020-11-19","2020-11-20","2020-11-21"
"30 Seconds to Mars","30 Seconds to Mars","Going into this album, I could really only remember their single off their next album [A Beautiful Life](../A%20Beautiful%20Lie/A_Beautiful_Lie_Album_Review.md), _the Kill_, and its more alternative leanings. This album on the other hand has much more of a progressive blend to its sound than I remember of the next album. The song _Edge of the Earth_ is the first track that makes me realize that this album is something special. They managed to make the sound very open, while still keeping that heaviness associated with metal. _Fallen_ really amps up on the space theme. For a first showing from 30 Seconds to Mars, this is a great showing. While not as much to talk about since the album fits the theme it sets pretty well. Overall this album is fantastic and is definitely going back into the rotation.","4","4","3.1","\\OPENMEDIAVAULT\Media\Music\30 Seconds To Mars\30 Seconds To Mars\Cover.jpg","DOOOOOONNN''''''TTTT BRRREEEAAAKKK MMEEEE DOOOWWNNNN, MMMARRRYYY MMMEEE (turns out this is not that album)","NEXT UP:  21st Century Breakdown by Green Day  I hate 21 guns, but let's do this","2020-11-29T09:36:41.363882","2020-11-26","2020-11-27","2020-11-28"
"21st Century Breakdown","Green Day","This album should have been called `Billie Armstrong Wants to Make The Black Parade`. I think this album was so supposed to be reminiscient of the the entire 2000-2010 decade. Listening through you can tell the obvious influences with _Murder City_ being something off of [The Black Parade](../../My%20Chemical%20Romance/The%20Black%20Parade/The_Black_Parade_Album_Review.md). Off the same album _21st Century Breakdown_ feels like it wants to be that bombastic anthem that _Welcome to the Black Parade_ is. _Know Your Enemy_ is reminiscient of some of their own earlier work, like something off of [Warning](../Warning/Warning_Album_Review.md). Even the next track _Viva La Gloria!_ sounds familair to their older work, specifically [American Idiot](../American%20Idiot/American_Idiot_Album_Review.md). Skipping a bit ahead _Last of the American Girls_ sounds like the intro song to a mid 2000s teen girl movie. _Restless Heart Syndrome_, even though it has such a ripping solo, it just takes too long to get anywhere that I don't find myself wanting to wait to get to the good part. _Horseshoes and Handgrenades_ feels like a straight rip off of [The Hives](../../Hives,%20The/The_Hives_Artist_Review.md). 	This is the second album by Green Day that is supposed to be a ""Punk Rock Opera"", the first being _American Idiot_, but this album feels a bit disengenous to me. Maybe I am being too harsh on this album; if you think it about it another way this album came out at the end of the decade so maybe they were just trying to highlight the previous decades punk, emo, and emo anthems into a rock opera. To me though I think it feels more like they are apeing the sounds they are trying to pay homage too.","2","2","1.9","\\OPENMEDIAVAULT\Media\Music\Green Day\21st Century Breakdown\Cover.jpg","I hate 21 guns, but let's do this","NEXT UP:  40oz. to Freedom by Sublime  This is not the one with all the bangers","2020-11-30T10:00:07.132488","2020-11-26","2020-11-27","2020-11-28"
"40oz. to Freedom","Sublime","The first album from Sublime. Who knew they would be such a break out hit after this. The album doesn't feel very cohesive throughout, seeing as the genre shifts each track. This album did a few standouts that I don't think I had listened too before, such as: _We're Only Gonna Die for our Arrogance_, _54-46 That's My Number/Ball and Chain_, and _What Happened_. The mix of sampling on this album is a reall interesting, typically somethign I really enjoy and that holds true here as well. It was fun to relisten to this album and hear some tracks I haven't listened to in years. Although songs like _Badfish_ or _Smoke Two Joints_ have just been played so many times growing up that Idk if I can really listen to them anymore. But this album deserves it's four star rating not much to say other than who hasn't listened to this album and who doesn't think it's good.","4","4","3.2","\\OPENMEDIAVAULT\Media\Music\Sublime\40oz. to Freedom\Cover.jpg","This is not the one with all the bangers","NEXT UP:  44 by The Mayan Factor  Imagine Tool, but Weirder","2020-12-04T10:00:02.889284","2020-11-26","2020-11-27","2020-11-28"
"44","The Mayan Factor","My intial thoughts on the album was that it was just another Tool clone, but that is not entirely true. The album has a more experimental feel to it, then even Tool does. The whole album has a really ancient feel to it, with the chanting and marracas. in some songs it has this nice blend of the progressive with some alternative bent to it. Some songs almost feel like Tool x R.E.M.. _44_ is definitely stronger in the first half then the second half. While I don't have a ton to say about this album, I think it's really good and is definitely worth checking out.","3","3","2.9","\\OPENMEDIAVAULT\Media\Music\Mayan Factor, The\44\Cover.jpg","Imagine Tool, but Weirder","NEXT UP:  '64-'95 by Lemon Jelly  It's drug music!","2020-12-11T11:37:34.644246","2020-12-03","2020-12-04","2020-12-05"
"99 songs of Revolution, Vol 1","Streetlight Manifesto","An Album of Covers, the project was initally started by Bandits of the Acoutstic Revolution. Seeing as this album was called Volume 1 I was kind of assuming there would be a volume 2 but I have not read anything about a potential volume 2 anywhere. Each track on this album is a cover, redone in the signature stye of Streetlight Manifesto. The covers are, in order: Mason Jennings, Squirrel Nut Zippers, Radiohead, Bad Religion, The Dead Milkmen, NOFX, Paul Simon, Bandits of the Acoustic Revolution, Paul Simon, Luis Jordan, and The Postal Service. The Cover of the Bad Religion song will be really interesting to compare to the orignal since I have that track in the library somehwere. What's really interesting about this album is they do a good job of making the covers sound different, but they still have the soul of the original. I think the cover/pairing that does this the best is Hurt by NIN that was covered by Johnny Cash. The song Just, even without knowing that it was a Radiohead song, you can still hear the chord progressions and the fill they tend to use on their songs bleed through the cover as well. What really drew me to this album was their cover of The Postal Service's Such Great Heights, there are thousands, I mean, thousands of covers of this song, but Streetlight actually managed to do the track in a different style so it feels different and unique but you can still see the soul. We've been having a great streak with the strong reviews, let's hope that trend continues.","4","4","3.5","\\OPENMEDIAVAULT\Media\Music\Streetlight Manifesto\99 Songs of Revolution, Vol 1\Cover.jpg","Imagine Tool, but Weirder","NEXT UP:  '64-'95 by Lemon Jelly  It's drug music!","2020-12-11T11:37:34.644246","2020-12-03","2020-12-04","2020-12-05"
"#501","MidiCronica","So I was initally very interested in this album since Midicronica did the end track for Samurai Champloo. Samurai Champloo always had a fantastic soundtrack, blending a more traditional Japanese sound with the modern, at the time, hip hop sound. Unfortunately I am missing a few tracks on this album, but with my reception to the other tracks, I am not sure if they would have helped the score on this review overall. What gets me about this album is that I like the beats behind the tracks, but its one of the guys in the group has a really grating sound to me and they seem to feature him in every single song. This album also does the classic hip hop thing of including a ton of sample tracks or skits, which hurt this album overall in my opinion. Then you get to the track _San Francisco_ and it all comes back, the groovey nature of the track just puts you in a good mood. It might just be my initial bias towards the show, but this track would have made a fantastic closing track. Well here ends the streak of strong reviews, I have a few tracks that I will keep in mind going forward, but overall I think this album will stay buried in the library.","2","2","2","\\OPENMEDIAVAULT\Media\Music\MidiCronica\#501\Cover.jpg","They did some of the Samurai Champloo music","NEXT UP:  A Beautiful Lie by 30 Seconds to Mars  More alternative, its probably garbage, but I liked it 10 years ago!","2020-12-16T12:06:50.293507","2020-12-10","2020-12-11","2020-12-12"
"A Beautiful Lie","30 Seconds to Mars","Now this is the album I was thinking of when I saw the first 30STM album pop up. The songs _The Kill_ and _From Yesterday_ were all over the radio when this album came out, like you couldn't escape them at all. While the first album from 30STM was a more progressive metal sound, this album seem to forgo both the metal and progressive stint from that album and move distinctly into the alternative realm; probably where the money is at compared to progressive and metal. The singles still definitely hold up, albeit not quite as high as I remember, but they were still very good. What this album does carry over from their first, is the spacey quality. The tracks sound very open, or airy, and that mixed with some of the oppressive riffs, really do a good job of setting the scene. Even though this album moves more into that alternative realm, in some ways its almost more ambitious than the first album. But with that ambition not every lands. So while not a fantastic album, still a pretty good one. This also marks the end of the **number/symbol** albums and we are now in the **A** territory.","3","3","3","\\OPENMEDIAVAULT\Media\Music\30 Seconds To Mars\A Beautiful Lie\Cover.jpg","More alternative, its probably garbage, but I liked it 10 years ago!","NEXT UP:  '64-'95 by Lemon Jelly  It's drug music!","2020-12-18T10:15:03.670155","2020-12-10","2020-12-11","2020-12-12"
"'64-'95","Lemon Jelly","A concept well shown is happening within this album. Each track is titled a year aka the title, the year is important here because that is when the sampled tracks were created. So basically this album is a showcase of specific samples how you can create something new with the old. This album generally starts off a little on the droning side for me, it has an unnecassary talking track to start it off, and then builds into a cosntant rising action to kind of set the tone for whats to come. But other than that the start of the album is rather slow. It does start to pick up after the halfway point with some tracks that will definitely be making it a more heavy rotation. The sole reason I bought this album years ago, was for _'64 aka Go_, this track has a groovey, mystical kind of quality to it. It feels as though you are on a quest traveling through the Desert. It might also not be instantly noticable, but the vocal sample is from William Shatner.","3","3","3.2","\\OPENMEDIAVAULT\Media\Music\Lemon Jelly\'64-'95\Cover.jpg","It's drug music!","NEXT UP:  A Broken Frame by Depeche Mode  looking forward to diving back into this band","2020-12-21T10:00:02.072903","2020-12-17","2020-12-18","2020-12-19"
"A Broken Frame","Depeche Mode","Oh Depeche Mode, the originators of synth pop as we know it and you can definitely see the origins here. The ablum starts out on a bit of a slow note with _Leave in Silence_, but it slowely builds throughout the track, not to some grand crescendo, but definitely enough to keep your interest throughout. The energy stays at that mellow, yet still dancy level in the next track _My Secret Garden_. _Monument_ starts out with this intrigueing beat to start off with. At this point I was starting to lose a bit of interest after multiple listens, feeling that there was something missing from the composition. Then _See You_ comes on, and picks up the pace by quite a lot. _Satallite_ almost feels like an electronic reggea song, its got the skanking bum-pause-bum-bum thing going one (there's got to be a better way to describe that). _The Meaning of Love_ is just a classic, right up there with _Just Can't Get Enough_. Now the following track _Further Excerpts From: My Secret Garden_ is rather interesting, it almost feels like a part 2 instead of a revisit of the main song. It really takes the melancholy this album has been brewing and takes it one notch darker instead. Its also interesting that it wasn't placed after the song is revisiting. Overall the album does a great job of being *A Mood*, but sometimes it leaves a little to be desired, even though its a solid album all around.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Depeche Mode\A Broken Frame\Cover.png","looking forward to diving back into this band","NEXT UP:  A Deathgrip On Yesterday by Atreyu  oh fuck yeah, I haven't listed to this album in like 10 years","2020-12-25T10:05:57.597312","2020-12-17","2020-12-18","2020-12-19"
"A Death-grip On Yesterday","Atreyu","A classic album. I think I wore the cd out when I was in middle/high school. That first sharp intake of breath on _Creature_ always gets me in a mood. This album is full of angst, from the vocals to the guitars, to every fiber of every song. Even back when I first started listening to this album; I usually really dislike the more melodic-chanting type of chorus; I fell in love with choruses, they act as a nice break from the more heavy screaming centric verses. I think with _The Theft_, being the standout single from this album, always fell a bit short for me. I think the magic of the melodic/hardcore mashup didn't really work as well with this track as it has done with other tracks. Now _Ex's and Oh's_ on the other hand, what a catchy track. Everything about that track gets me absolutely pumped up. The song _My Fork in the Road..._ even though it got a three has a sick guitar solo that is defintiely worth checking out. Over all the album is just a bunhc of nostalgia for me, I still like it, but I don't know if I would like it as much if I didn't love it so much as a kid.","4","4","4","\\OPENMEDIAVAULT\Media\Music\Atreyu\A Death-Grip On Yesterday\Cover.jpg","oh fuck yeah, I haven't listed to this album in like 10 years","NEXT UP:  A Jacknife to a Swan by The Mighty Mighty Bosstones  Woo more ska!","2020-12-28T12:46:57.932689","2020-12-24","2020-12-25","2020-12-26"
"A Jackknife to a Swan","The Mighty Mighty Bosstones","Oh The Mighty Mighty Bosstones, a ska classic. I don't think I had ever actually listened to this album all the way through before. It definitely has that early 2000's feel to it, got some slightly pop-punkier vibes than some of their earlier work. The album starts out strong with _A Jackknight to a Swan_. _Mr. Moran_ opens with a sample from some old movie or something, and I don't know why but I am always a sucker for those. _You Gotta Go!_ is: ""Pick it up, Pick it up, Pick it up!"" the song. The ablum definitely sllows down quite a bit with _Everybody's Better_. This song defintely has a kind of rocksteady vibe to it. The next two tracks, _Sugar Free_ and _I Want My City Back_, both take it back up to the ska punk that you would expect of the Bosstones. Nothing really much to say, they are solid tracks but don't really change, or mix anything up. I will say the mix of the ska punk sound with the rocksteady vibes does do a good job of breaking the album the album. I personally am not such a big fan of the rocksteady but it is nice in small doses. The opening of _The Old School Off the Bright_ starts out as kind of a bepop beat, I wish it stuck with it a bit longer before transitioning into the punk banger. _The Punch Line_ is definetly one of the highs of this album, just a classic Bosstones track. The Organ on _Shit Outta Luck_ is always a highlight for me, I don't know what it is about that organ sound but I can't get enough of it. Overall this album is a ska classic, it doesn't really do anything special but its by no means bad.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Mighty Mighty Bosstones, The\A Jackknife To A Swan\Cover.jpg","Woo more ska!","NEXT UP:  A Lesson in the Abuse of Information Technology by The Menzingers  While this isn't my favorite album from them, the album is still pretty good","2021-01-01T10:00:11.425381","2020-12-24","2020-12-25","2020-12-26"
"A Lesson in the Abuse of Information Technology","The Menzingers","The first full length album from Pennsylvania based Menzingers. This album is a classic example of mid 2000's punk. The album definitely starts out strong, but really comes into it's own during the titular track. You can definitely see the roots of some of their most popular tracks beginning to take hold here. _Ave Maria_ my favorite track off the album, it has this nostalgic quality to it. _Coal City Blues_ just drops the pace of the album, I know its basically a requirment for punk bands to have atleast one or two slow songs but they are always my least favorite on the album. The next track, _Keychain_, brings us right back to the action. that first line always gets me hyped ""I feel my teeth turning black..."". _Even for an Eggshell_ is rather interesting as well, its a song about Hamlet, and its a really cool take. _Richard Coury_ is the second of like four slow tracks on this album, this songs saving grace is that it gets really good about halfway through. _Straight to Hell_ has got the early markings of _I don't want to be an Asshole Anymore_ written all over it. _Cold Weather Gear_ is really just a sample over some acoustic strumming, there is some actual track in here but its doewsn't have enough going on for me. The last hurrah of the album, _Clap Hands Two Guns_, tries to get us back to the highs of the earlier portion of the album, but with a harder edge to it. Overall this album is fantastic, it has a few rough spots which should probably drop it to a three, but I think the highs are worth the jump to a four.","4","4","3","\\OPENMEDIAVAULT\Media\Music\Menzingers, The\A Lesson in the Abuse of Information Technology\Cover.jpg","While this isn't my favorite album from them, the album is still pretty good","NEXT UP:  A Picture of Finn Farting by Renard  Oh boy, some more lapfox trax. Lets hope I like this better than Bandetto","2021-01-04T10:00:20.228157","2020-12-31","2021-01-01","2021-01-02"
"A Picture of Finn Farting","Renard","I believe this album is a bunch of unreleased/unfinished tracks that I donloaded from Renard for free. Typically I don't like the commentary on songs like these but _THE RETRO COMEBACK BAD EXPERIENCE_ has a commentary intro that I don't particularily mind. I believe this is more about the fact that the song is really fucking oitherwise. I think the track _GOT MY PONY SPAM FOR YOU_ would have easiliy jumped to a 4 if it didn't have such a long intro about hand farts. Besides the talking portions this album is a fast paced gem. _WHO'S READY FOR THE BASEMENT_ has quite the littany of samples throughout, it's almost a game in and of itself to try and pick out all the samples. The track _VS PSYCHOLOGY_ which is a stevie wonder cover, has this really cool spooky, ambient sound to it. The next few tracks are good, but you c an defitely see their unfinished nature. Everything starts to pick back up for me when _YOU GOT CURVES, SHE GOT CURVES_ starts playing. The final track, _DARK TONY HAWK IS BORN_ is the gem on this album. It is such a great track, featuring a sample from Adventure Time of Marceline singing about her father. Overall its a solid little mixtape featuring some uncut/unfinished work but I think the pieces themselves are good enough hold their own.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Renard\A Picture of Finn Farting\Cover.jpg","Oh boy, some more lapfox trax. Lets hope I like this better than Bandetto","NEXT UP:  A Place Where the Sun is Silent by Alesana  Now this... this is a Grade-A lowus band. I remember falling off after the first few albums but still really good","2021-01-08T10:00:18.022232","2020-12-31","2021-01-01","2021-01-02"
